date,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr),news
2022-02-11,18177.9,18178.75,18048.65,18082.85,270878019.0,20072.62,"Cocoa, green tea act as counter to effects of high-fat food under stress, reveals study"
2022-02-11,18177.9,18178.75,18048.65,18082.85,270878019.0,20072.62,As long as there are EVMs...: Congress cries foul play amid Mahayuti's lead in Maharashtra
2022-02-11,18177.9,18178.75,18048.65,18082.85,270878019.0,20072.62,HR asks candidate her marriage plans during interview; scandalised netizens demand ban of ‘outdated questions’
2022-02-11,18177.9,18178.75,18048.65,18082.85,270878019.0,20072.62,"Maharashtra election 2024: Kuch toh gadbad hain, Sanjay Raut rejects early trends, says Adani is 'Ladli bhai of BJP'"
2022-02-11,18177.9,18178.75,18048.65,18082.85,270878019.0,20072.62,"As threat of Trump tariffs looms, Europe's leaders seek greater unity"
2022-02-11,18177.9,18178.75,18048.65,18082.85,270878019.0,20072.62,A lesson from Poland: Reversing populist policies is tough
2022-02-11,18177.9,18178.75,18048.65,18082.85,270878019.0,20072.62,subscribe to our newsletter
2022-03-11,17968.35,18106.3,17959.2,18052.7,212968291.0,16037.78,"Greatest bubble in human history about to burst? USA's $34 trillion debt to trigger a recession, stocks may lose over half their value in a sell-off, says Mark Spitznagel"
2022-03-11,17968.35,18106.3,17959.2,18052.7,212968291.0,16037.78,Gautam Adani is facing the biggest trial of his life
2022-03-11,17968.35,18106.3,17959.2,18052.7,212968291.0,16037.78,"Virat Kohli's post gives fans a scare; speculations of divorce with Anushka Sharma, retirement surface"
2022-03-11,17968.35,18106.3,17959.2,18052.7,212968291.0,16037.78,Kalpataru Advay—Borivali gets an Illustrious residential landmark
2022-03-11,17968.35,18106.3,17959.2,18052.7,212968291.0,16037.78,Education qualifications of Keerthy Suresh's husband-to-be Antony Thattil. His business ventures and their love story
2022-03-11,17968.35,18106.3,17959.2,18052.7,212968291.0,16037.78,IPL 2025 to kick off in March
2022-03-11,17968.35,18106.3,17959.2,18052.7,212968291.0,16037.78,World War III has already begun
2022-03-11,17968.35,18106.3,17959.2,18052.7,212968291.0,16037.78,NTPC Green Energy IPO GMP Today
